step,time,dt,cfl,max_speed,kinetic_energy,enstrophy,circulation,poisson_iters,poisson_residual,frame
50,0.039062,7.813e-4,0.4000,0.613527,4.87619095e-4,5.33054249e1,-7.91865148e-1,3,2.128e-12,-1
51,0.039844,7.813e-4,0.4000,0.617062,4.96006225e-4,5.30449015e1,-7.94015314e-1,3,1.968e-12,-1
52,0.040625,7.813e-4,0.4000,0.620503,5.04322541e-4,5.27868753e1,-7.96095891e-1,3,2.143e-12,-1
53,0.041406,7.813e-4,0.4000,0.623852,5.12569642e-4,5.25314855e1,-7.98110582e-1,3,1.963e-12,-1
54,0.042187,7.813e-4,0.4000,0.627115,5.20749075e-4,5.22788443e1,-8.00062823e-1,3,2.185e-12,-1
55,0.042969,7.813e-4,0.4000,0.630295,5.28862340e-4,5.20290411e1,-8.01955802e-1,3,2.238e-12,-1
56,0.043750,7.813e-4,0.4000,0.633394,5.36910885e-4,5.17821447e1,-8.03792483e-1,3,2.279e-12,-1
57,0.044531,7.813e-4,0.4000,0.636417,5.44896115e-4,5.15382072e1,-8.05575626e-1,3,2.094e-12,-1
58,0.045312,7.813e-4,0.4000,0.639366,5.52819388e-4,5.12972654e1,-8.07307804e-1,3,2.078e-12,-1
59,0.046094,7.813e-4,0.4000,0.642245,5.60682018e-4,5.10593436e1,-8.08991420e-1,3,2.261e-12,-1
60,0.046875,7.813e-4,0.4000,0.645056,5.68485279e-4,5.08244550e1,-8.10628717e-1,3,2.099e-12,-1
61,0.047656,7.813e-4,0.4000,0.647801,5.76230404e-4,5.05926035e1,-8.12221797e-1,3,2.235e-12,-1
62,0.048437,7.813e-4,0.4000,0.650484,5.83918586e-4,5.03637848e1,-8.13772628e-1,3,2.274e-12,-1
63,0.049219,7.813e-4,0.4000,0.653105,5.91550983e-4,5.01379880e1,-8.15283058e-1,3,2.387e-12,-1
64,0.050000,7.813e-4,0.4000,0.655669,5.99128714e-4,4.99151960e1,-8.16754821e-1,3,2.423e-12,-1
65,0.050781,7.813e-4,0.4000,0.658176,6.06652865e-4,4.96953871e1,-8.18189547e-1,3,2.505e-12,-1
66,0.051562,7.813e-4,0.4000,0.660629,6.14124490e-4,4.94785353e1,-8.19588772e-1,3,2.343e-12,-1
